model,fold,accuracy,f1_macro,roc_auc,log_loss,train_accuracy,train_f1_macro
Logistic Regression,1,0.891566265060241,0.8664401930985159,0.9754224270353302,0.27318206046094673,0.8885542168674698,0.8631690336953495
Logistic Regression,2,0.8554216867469879,0.8319838056680162,0.9777265745007679,0.2887521360912337,0.8945783132530121,0.8688709586413136
Logistic Regression,3,0.9036144578313253,0.8763040238450075,0.9854070660522274,0.2460704227074989,0.891566265060241,0.867288474350433
Logistic Regression,4,0.8674698795180723,0.8367602360092974,0.9600614439324116,0.29551992017810297,0.8945783132530121,0.8705653021442494
Logistic Regression,5,0.9036144578313253,0.8827683615819208,0.9615975422427036,0.24741403568391448,0.8855421686746988,0.8590202038262114
Random Forest,1,0.9518072289156626,0.9362519201228878,0.9823348694316436,0.1589751764538104,0.9849397590361446,0.980309123044257
Random Forest,2,0.927710843373494,0.9072280178837555,0.9869431643625192,0.1604056272817278,0.9849397590361446,0.980309123044257
Random Forest,3,0.9397590361445783,0.9190243902439024,0.9784946236559139,0.18081895075199497,0.9939759036144579,0.9920314900153611
Random Forest,4,0.927710843373494,0.9043778801843319,0.9569892473118279,0.2239886638834989,0.9879518072289156,0.9843070523728492
Random Forest,5,0.9156626506024096,0.8901493666099451,0.9823348694316436,0.16114562298349064,0.9849397590361446,0.980309123044257
XGBoost,1,0.9397590361445783,0.9215352618642465,0.989247311827957,0.13160086026311552,0.9969879518072289,0.9960313191082422
XGBoost,2,0.927710843373494,0.9072280178837555,0.9877112135176651,0.15106265858855408,1.0,1.0
XGBoost,3,0.9518072289156626,0.9362519201228878,0.9869431643625192,0.14554892091511915,1.0,1.0
XGBoost,4,0.9156626506024096,0.8932966023875115,0.9754224270353303,0.17952383448898515,0.9969879518072289,0.9960313191082422
XGBoost,5,0.9156626506024096,0.8866341463414633,0.9807987711213518,0.1725426895633967,0.9969879518072289,0.9960313191082422
